date,source,ticker,fii_buy,fii_sell,dii_buy,dii_sell
2025-11-17,NSE,,5000000000,3000000000,2000000000,1500000000
2025-11-18,NSE,,6000000000,3500000000,2500000000,1800000000
2025-11-19,NSE,,5500000000,4000000000,2200000000,2000000000
2025-11-20,NSE,,7000000000,2500000000,3000000000,1200000000
2025-11-21,NSE,,6500000000,3000000000,2800000000,1500000000
2025-11-24,NSE,,8000000000,2000000000,3500000000,1000000000
2025-11-25,NSE,,7500000000,2500000000,3200000000,1300000000
2025-11-26,NSE,,7200000000,2800000000,3100000000,1400000000
2025-11-27,NSE,,7800000000,2200000000,3400000000,1100000000
2025-11-28,NSE,,8200000000,1800000000,3600000000,900000000

