date,underlying,expiry,total_call_oi,total_put_oi,total_call_volume,total_put_volume,iv_index
2025-11-17,NIFTY,2025-11-30,50000000,60000000,2000000,2500000,0.18
2025-11-18,NIFTY,2025-11-30,52000000,62000000,2100000,2600000,0.19
2025-11-19,NIFTY,2025-11-30,55000000,58000000,2200000,2400000,0.17
2025-11-20,NIFTY,2025-11-30,58000000,55000000,2300000,2200000,0.16
2025-11-21,NIFTY,2025-11-30,60000000,52000000,2400000,2100000,0.15
2025-11-24,NIFTY,2025-11-30,62000000,50000000,2500000,2000000,0.14
2025-11-25,NIFTY,2025-11-30,65000000,48000000,2600000,1900000,0.13
2025-11-26,NIFTY,2025-11-30,68000000,52000000,2700000,2100000,0.14
2025-11-27,NIFTY,2025-11-30,70000000,55000000,2800000,2200000,0.15
2025-11-28,NIFTY,2025-11-30,72000000,58000000,2900000,2300000,0.16
2025-11-17,BANKNIFTY,2025-11-30,30000000,35000000,1500000,1800000,0.20
2025-11-18,BANKNIFTY,2025-11-30,31000000,36000000,1550000,1850000,0.21
2025-11-19,BANKNIFTY,2025-11-30,33000000,34000000,1600000,1700000,0.19
2025-11-20,BANKNIFTY,2025-11-30,35000000,32000000,1650000,1600000,0.18
2025-11-21,BANKNIFTY,2025-11-30,37000000,30000000,1700000,1500000,0.17
2025-11-24,BANKNIFTY,2025-11-30,39000000,28000000,1750000,1400000,0.16
2025-11-25,BANKNIFTY,2025-11-30,41000000,29000000,1800000,1450000,0.17
2025-11-26,BANKNIFTY,2025-11-30,43000000,31000000,1850000,1550000,0.18
2025-11-27,BANKNIFTY,2025-11-30,45000000,33000000,1900000,1650000,0.19
2025-11-28,BANKNIFTY,2025-11-30,47000000,35000000,1950000,1750000,0.20

